dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,family,p_fdr,sig
Knee_stance_ref_X_Nm_peak,11.22706601804,8.90458540964493,99.2754086425796,1.26081849985733,0.210329350870314,102.402937519657,44.780047936571,103.417962941751,82.5338138417051,52,72,True,운동역학,0.31186765818701734,
Knee_stance_ref_Y_Nm_peak,27.3601726296564,3.86077969216691,102.432413528113,7.08669616273809,1.79777702044329e-10,68.9234736532419,22.3652063057088,40.1103112388746,31.7762296715078,52,72,True,운동역학,9.663051484882683e-10,***
Knee_stance_ref_Z_Nm_peak,8.68368322955323,1.316985932193,98.8044245919268,6.59360363484937,2.12760875814352e-09,19.1134420727257,8.88135749698649,12.2980855195803,14.7455772604467,52,72,True,운동역학,9.148717660017137e-09,***
Ankle_stance_ref_X_Nm_peak,26.349201933999,4.36215281848931,101.70983687947,6.04041239048663,2.54023014201959e-08,73.118008607479,24.3478992105985,46.1486159847965,35.8867802485146,52,72,True,운동역학,9.102491342236865e-08,***
Ankle_stance_ref_Y_Nm_peak,20.7274356288054,3.98452737528032,103.401254542269,5.20198098208502,1.00248297456097e-06,65.0010608920873,28.8378028044133,41.1363865654356,34.8665724905102,52,72,True,운동역학,2.694172994132607e-06,***
Ankle_stance_ref_Z_Nm_peak,-2.29190806950532,1.70595245382164,98.7620909374874,-1.34347710826937,0.182196320021989,11.4115397429064,8.1782493139157,16.9661450356115,17.4534999168476,52,72,True,운동역학,0.29007543269945874,
Trunk_ref_X_Nm_peak,-1.27316326776621,1.61757098874117,100.68269722936,-0.787083396418364,0.433081908691625,40.1431572050027,17.8494225887738,42.4512461009786,16.7902735586154,52,72,True,운동역학,0.5150884872132602,
Trunk_ref_Y_Nm_peak,5.42566846520643,1.17723431801093,107.675073798422,4.60882628224235,1.11825382195057e-05,16.1650230287249,7.08152700567833,10.9195150519205,7.61215943843054,52,72,True,운동역학,2.6713841302152506e-05,***
Trunk_ref_Z_Nm_peak,1.62155208605382,0.81094606638155,110.26349400136,1.99958067900768,0.0480047376816178,8.87038531413551,4.67590658632266,7.06533579173501,5.38358368235357,52,72,True,운동역학,0.08974798783954634,
Neck_ref_X_Nm_peak,0.235306648999365,0.149896982521357,99.9996354359583,1.56978909809502,0.119623116177964,6.60363325979489,2.8491093371712,6.43318897274438,2.421769173246,52,72,True,운동역학,0.2143247498188522,
Neck_ref_Y_Nm_peak,0.263002928022595,0.0625658713264013,115.091945873702,4.20361648366614,5.21560158361591e-05,1.05509717926825,0.374110362160349,0.795427213649804,0.333771320444816,52,72,True,운동역학,0.00011803729899762322,***
Neck_ref_Z_Nm_peak,0.0962848666800033,0.0384661389010012,105.395326616693,2.50310713346634,0.013845721738179,0.528778274489052,0.327746270241532,0.428874455321775,0.245796301870101,52,72,True,운동역학,0.028350763559128432,*
AnkleTorqueMid_Y_peak,-0.142272419510008,0.0215478659608004,100.792136869835,-6.60262226286483,1.9189041015214702e-09,1.65846021028029,0.359430381486794,1.86832754750466,0.298312197528695,52,73,True,운동역학,9.148717660017137e-09,***
